,title,category,author_name,dates,num comments,num views,PER,LOC,ORG,MISC,group_PER,group_ORG,group_MISC,group_title_a,final_group
649,Multilingual idol NCT's TEN reveals which language he speaks to his cats with in new W Korea video,Misc,Dani-Dee,02/18/2024,5,"5,571",,W,"NCT, TEN",Korea,,NCT,,,NCT
650,BTS's J-Hope celebrates 30th birthday by visiting fans' celebratory banners and billboards in Seoul,News,Dani-Dee,02/18/2024,5,"5,967",,Seoul,"BTS, J - Hope",,,BTS,,BTS,BTS
651,"Taeyeon, BLACKPINK's Jennie, and TWICE's Jihyo top February's individual K-Pop female idol brand value rankings",News,Dani-Dee,02/18/2024,20,"10,649","Taeyeon, Jennie, Jihyo",,"BLACKPINK, TWICE, K - Pop",,,BLACKPINK,,,BLACKPINK
652,"BLACKPINK JENNIE's “One Of The Girls"" becomes the First Song by a K-pop Act to reach 200 Million Streams on Spotify in 2024",News,Pop-Superstars,02/18/2024,36,"4,338",,,,"“ One Of The Girls, First Song by a K - pop Act, Million Streams, Spotify",,,,BLACKPINK,BLACKPINK
653,Former AOA member Yuna to tie the knot later today,News,Yaki-Jones,02/18/2024,11,"16,344",Yuna,,AOA,,,AOA,,,AOA
654,Dara reacts to Big Bang's Daesung choosing 2NE1 as the lowest contributor to YG Entertainment,News,Yaki-Jones,02/18/2024,104,"127,908",Dara,,"Big Bang, Daesung, 2NE1, YG Entertainment",,,BIGBANG,,,BIGBANG
655,BTS j-hope's new documentary and OST album set for release soon,Teaser,Yaki-Jones,02/17/2024,20,"5,099",,,BTS j - hope,,,,,BTS,BTS
656,MAMAMOO's Moon Byul reveals preview of 'Starlit of Muse' in highlight medley,Teaser,Germaine-Jay,02/17/2024,4,"1,479",Moon Byul,,MA,Starlit of Muse,,,,MAMAMOO,MAMAMOO
657,NCT's Taeyong lays around in 'Looking for TY' teaser clip & 'TAP' teaser images,Teaser,Germaine-Jay,02/17/2024,3,"1,657",Taeyong,,NCT,Looking for TY,,NCT,,NCT,NCT
658,TWS take over school in 'BFF' MV,Music Video,Germaine-Jay,02/17/2024,3,"2,239",,,TWS,,,TWS,,TWS,TWS
659,LE SSERAFIM make it look 'EASY' in latest MV teaser,Teaser,Germaine-Jay,02/17/2024,12,"4,611",,,,,,,,LE SSERAFIM,LE SSERAFIM
660,ALL(H)OURS reveal making of 'GOTCHA' MV,Misc,Germaine-Jay,02/17/2024,1,881,,,ALL ( H ) OURS,,,,,AL,ALL(H)OURS
661,BTOB's Hyunsik sings 'La Mar' by foggy sea in live performance video,Misc,Germaine-Jay,02/17/2024,1,"1,874",Hyunsik,,"BT, ##B",La Mar,,,,BTOB,BTOB
662,Taeyang's 'VIBE (feat. Jimin)' hits 200 million streams on Spotify,News,Sofia-Sayson,02/17/2024,8,"2,573","Taeyang, Jimin",,,"VIBE, Spotify",,,Vibe,,Vibe
663,ZEROBASEONE's Kim Ji Woong personally addresses fans about his recent cursing controversy,News,Susan-Han,02/17/2024,14,"14,646",Kim Ji Woong,,,,,,,ZEROBASEONE,ZEROBASEONE
664,Ghost9's Lee Jin Woo garners attention for his resemblance to Song Joong Ki + Lee Min Ho in his new profile photos,News,Susan-Han,02/17/2024,4,"5,586","Lee Jin Woo, Song Joong Ki, Lee Min Ho",,Ghost9,,,GHOST9,,,GHOST9
665,"Stream Now: AfreecaTV's 'MY STAGE' Music Show - Featuring TRENDZ, LIMELIGHT, OMEGA X, and OnlyOneOf!",News,allkfob.KG,02/16/2024,0,"1,413","TRENDZ, LIMELIGHT, OMEGA X",,"Af, ##TV, OnlyOneOf!","Now, ##reeca, MY STAGE ' Music Show",TRENDZ,OnlyOneOf,,,
666,"RIIZE's Wonbin tops individual male K-Pop idol brand value rankings for February, followed by Cha Eun Woo, Anton, & more",News,Susan-Han,02/16/2024,14,"6,894","Wonbin, Cha Eun Woo, Anton",,"RI, K - Pop",,,,,RIIZE,RIIZE
667,Rain says he wants to create opportunities for aspiring singers and actors through auditions,News,Sophie-Ha,02/16/2024,42,"8,475",Rain,,,,RAINZ,,,,RAINZ
668,Daesung expresses his affection for Big Bang members G-Dragon and Taeyang,News,Sophie-Ha,02/16/2024,16,"10,198","Daesung, G - Dragon, Taeyang",,Big Bang,,,BIGBANG,,,BIGBANG
669,TWS's Shinyu makes fans swoon with his visuals,News,Sophie-Ha,02/16/2024,4,"4,222",,,TWS,Shinyu,,TWS,,TWS,TWS
670,BABYMONSTER steps up to the plate in a commercial for Pepsi Thailand,CF,Sophie-Ha,02/16/2024,52,"6,348",,,Pepsi Thailand,,,,,BABYMONSTER,BABYMONSTER
671,BTS's Jungkook fully unravels his irresistible charms in the new Spring 2024 Calvin Klein Campaign,News,Sophie-Ha,02/16/2024,19,"7,456",Jungkook,,BT,Spring 2024 Calvin Klein Campaign,,,,BTS,BTS
672,Brave Entertainment introduces the 4th member of Candy Shop,News,Sophie-Ha,02/16/2024,3,"5,089",,,"Brave Entertainment, Candy Shop",,,Candy Shop,,,Candy Shop
673,NCT's Taeyong reveals 'Mystery Ego' teaser images for 'TAP',News,Germaine-Jay,02/16/2024,2,"2,258",Taeyong,,,Mystery Ego,,,,NCT,NCT
674,MAMAMOO's Moon Byul teases upcoming album 'Starlit of Muse' in making-of film,Teaser,Germaine-Jay,02/16/2024,1,"1,021",Moon Byul,,,Starlit of Muse,,,,MAMAMOO,MAMAMOO
675,ASTRO Cha Eun Woo's solo debut album 'ENTITY' reaches #1 on iTunes charts in various countries,News,Sofia-Sayson,02/16/2024,4,"5,023",Cha Eun Woo,,,"##Y, iTunes",,,,ASTRO,ASTRO
676,BTS' RM spotted looking sharp in military band uniform,News,Germaine-Jay,02/16/2024,13,"8,387",,,BT,,,,,BTS,BTS
677,TWS & NCT WISH join performer lineup for first ever 'Asia Star Entertainer Awards',News,Germaine-Jay,02/16/2024,2,"1,911",,,NCT WISH,Asia Star Entertainer Awards,,NCT Wish,,TWS,
678,BOYNEXTDOOR tease official fan light stick,Teaser,Germaine-Jay,02/16/2024,5,"2,790",,,BOYNEXTDOOR,,,BOYNEXTDOOR,,BOYNEXTDOOR,BOYNEXTDOOR
679,BTOB's Hyunsik survives deserted island in 'La Mar' MV,Music Video,Germaine-Jay,02/16/2024,2,"2,313",Hyunsik,La Mar,BT,,,,,BTOB,BTOB
680,Apink's Namjoo is set to make a Solo comeback after 4 years!,News,darkrunner,02/16/2024,2,"2,358","Apink, Namjoo",,,Solo,Apink,,,,Apink
681,"Watch 'Music Bank' Live feat. EVNNE, NMIXX, TWS & more!",Live,Germaine-Jay,02/16/2024,0,"1,090","EVNNE, ##IXX, ##WS",,"NM, T",Music Bank ' Live,EVNNE,,,,EVNNE
682,Real-life figure behind virtual idol PLAVE member Eunho under fire for his past mixtape lyrics,News,Susan-Han,02/16/2024,38,"26,926",Eunho,,PLAVE,,,PLAVE,,,PLAVE
683,TOMORROW x TOGETHER preparing for a comeback in April,News,Susan-Han,02/16/2024,6,"6,556",,,"TOMORROW, TOGETH",,,4Tomorrow,,,TXT
684,DAY6 making a comeback next month,News,Susan-Han,02/16/2024,5,"5,988",,,DAY6,,,DAY6,,DAY6,DAY6
685,TWS sign with Geffen Records & Virgin Music for promotion/distribution deals in the U.S. and Japan,News,Susan-Han,02/16/2024,4,"2,367",,"U. S., Japan","Geffen Records, Virgin Music",,,,,TWS,TWS
686,TEMPEST announce comeback with a sweet 'coming soon' image,News,Susan-Han,02/15/2024,1,"1,529",,,TEMPEST,,,TEMPEST,,TEMPEST,TEMPEST
687,ENHYPEN to release a remake of BTS's 'I Need U' for 'Spotify Singles',News,Susan-Han,02/15/2024,10,"5,833",##S,,BT,"I Need U, Spotify Singles",,,,ENHYPEN,ENHYPEN
688,LE SSERAFIM scheduled to appear on various variety shows including 'Running Man' and 'Amazing Saturday',News,Sophie-Ha,02/15/2024,11,"6,367",,,,"Running Man, Amazing Saturday",,,,LE SSERAFIM,LE SSERAFIM
689,Stray Kids and (G)I-DLE top Hanteo's Global Charts for the second week of February,News,Sophie-Ha,02/15/2024,8,"3,071",,,"Stray Kids, ( G ) I - DLE, Han",##teo ' s Global Charts,,Stray Kids,,,Stray Kids
690,"MAMAMOO's Wheein releases digital single 'WHEEE' (Prod. Young K, Sanghyun Nah)",Music Video,Luckymoomoo,02/15/2024,1,"1,577","Wheein, Young K, Sanghyun Nah",,,,,,,MAMAMOO,MAMAMOO
691,tripleS reveals 4 song candidates for the title track of their 1st full group comeback,News,anonymous1215151,02/15/2024,5,"2,274",,,tripleS,,,Triple7,,,tripleS
692,Apink's Namjoo covers 'Rewrite The Stars' & 'Reflection' in a special Live clip,Misc,darkrunner,02/15/2024,2,"1,502",,,"Apink, Namjoo","Rewrite The Stars, Reflection, Live",,Apink,IVE,,
693,"Girls' Generation's Yuri, YoonA, and Tiffany gather to celebrate Sooyoung's birthday",News,Sophie-Ha,02/15/2024,6,"7,073","Yuri, YoonA, Tiffany, Sooyoung",,Girls ' Generation,,,Girls' Generation,,,Girls' Generation
694,BTS's V reveals he gained 10 kg (22 lbs) after enlisting in mandatory military service,News,Sophie-Ha,02/15/2024,63,"23,392",,,BTS,,,BTS,,BTS,BTS
695,MAMAMOO's Moon Byul sets a new personal best for album pre-orders with 'Starlit of Muse',News,Luckymoomoo,02/15/2024,7,"2,366",Moon Byul,,MA,Starlit of Muse,,,,MAMAMOO,MAMAMOO
696,tripleS to make their first full group comeback with 20 members,News,anonymous1215151,02/15/2024,35,"7,721",,,tripleS,,,Triple7,,,tripleS
697,BTS's V (Kim Taehyung) shares outtakes from his stunning Valentine's Day photoshoot for 'W Korea x CELINE',News,YeontanNews,02/15/2024,19,"8,486",Kim Taehyung,,BT,"Valentine ' s Day, W Korea x CELINE",,,,BTS,BTS
698,"""This wasn't taken yesterday?"" Pre-debut photo of BLACKPINK's Jennie stuns fans",News,Sophie-Ha,02/15/2024,18,"25,330",Jennie,,BLACKPINK,,,BLACKPINK,,,BLACKPINK
699,NCT's Taeyong shines in the dark in the new teaser photos for his 2nd mini-album 'TAP',News,Sophie-Ha,02/15/2024,5,"1,964",Taeyong,,NCT,TAP,,NCT,,NCT,NCT
700,SM Entertainment unveils additional teaser photos for NCT WISH,News,Sophie-Ha,02/15/2024,4,"2,029",,,SM Entertainment,NCT WISH,,,NCT Wish,,NCT Wish
701,Brave Entertainment releases individual profile photos of the third Candy Shop member,News,Sophie-Ha,02/15/2024,17,"5,113",,,"Brave Entertainment, Candy Shop",,,Candy Shop,,,Candy Shop
702,TWICE shine a light in 'With YOU-th' concept photos,News,Germaine-Jay,02/15/2024,8,"3,754",,,TWICE,,,TWICE,,TWICE,TWICE
703,Chuu gifts fans 'Chocolate' in special present MV,Music Video,Germaine-Jay,02/15/2024,3,"1,838",Chuu,,,Chocolate,,,ChoColat,,
704,MAMAMOO's Moon Byul reveals her moves in 'TOUCHIN&MOVIN' MV teaser,Teaser,Germaine-Jay,02/15/2024,9,"1,332",Moon Byul,,,,,,,MAMAMOO,MAMAMOO
705,LE SSERAFIM reveal dramatic MV teaser for 'EASY',Teaser,Germaine-Jay,02/15/2024,7,"2,978",,,LE SS,EASY,,,,LE SSERAFIM,LE SSERAFIM
706,YOUNG POSSE drop 'YOUNG POSSE UP' choreography MV,Misc,Germaine-Jay,02/15/2024,0,"1,450",,,,"YOUNG POSSE, YOUNG POSSE UP",,,YOUNG POSSE,YOUNG POSSE,YOUNG POSSE
707,TWICE take you behind the scenes of 'I Got You' MV,Misc,Germaine-Jay,02/15/2024,1,"1,653",,,,I Got You,,,,TWICE,TWICE
708,Former F.T. Island's Seunghyun announces retirement from entertainment industry,News,Germaine-Jay,02/15/2024,17,"24,771",Seunghyun,,F. T. Island,,,FT ISLAND,,,FT ISLAND
709,GOT7's Yugyeom takes a break in '1 Minute' MV teaser,Teaser,Germaine-Jay,02/15/2024,3,"1,650",Yugyeom,,GOT7,,,GOT7,,GOT7,GOT7
710,iKON's DK (Donghyuk) gets his heart stolen in 'GROOVIN' solo debut MV,Music Video,Germaine-Jay,02/15/2024,4,"2,938","DK, Donghyuk",,iKON,,,iKON,,,iKON
712,TREASURE to star in new SBS variety 'Shining SOLO' + show rumored to be a dating reality with female SNS influencers,News,Susan-Han,02/15/2024,26,"13,033",,,"SBS, SNS",Shining SOLO,,,,TREASURE,TREASURE
713,"After 'Pepero', Lotte Wellfood once again selects NewJeans as endorsement models for its 'ZERO' brand snacks",News,Susan-Han,02/15/2024,5,"3,145",Well,,"Lotte, ##food, NewJeans",Pepero,,NewJeans,,,NewJeans
714,TRI.BE search for their 'Diamond' in the rough in emotional comeback MV teaser,Teaser,Susan-Han,02/14/2024,2,"1,389",,,TRI. BE,Diamond,,TRI.BE,,,TRI.BE
715,Calvin Klein unveils seductive ad featuring BTS's Jungkook on Valentine's Day,News,Sophie-Ha,02/14/2024,19,"18,540","Calvin Klein, BTS, Jungkook",,,Valentine ' s Day,BTS,,,,BTS
716,NCT's TEN dominates iTunes charts with his first mini-album,News,Sofia-Sayson,02/14/2024,3,"3,083",,,"NCT, TEN",iTunes,,NCT,,NCT,NCT
717,"TWS's ""Plot Twist"" reaches #2 on Melon's Top 100",News,Sophie-Ha,02/14/2024,8,"3,023",,,,"Plot Twist, Melon ' s Top 100",,,,TWS,TWS
718,Netizens are saying Red Velvet's Joy looked better before getting her eyes done,News,Sophie-Ha,02/14/2024,51,"45,421","Red Velvet, Joy",,,,Red Velvet,,,,Red Velvet
719,"BTS's ""Spring Day"" celebrates its 7th anniversary and the song has never left Melon's Daily Chart for 7 consecutive years",News,Sophie-Ha,02/14/2024,18,"4,489",,,BTS,"Spring Day, Melon ' s Daily Chart",,BTS,,BTS,BTS
720,SHINee's Taemin gets embroiled in dating rumors with dancer NO:ZE,Rumors,Sophie-Ha,02/14/2024,116,"59,409","SHINee, Taemin, NO, Z",,,,SHINee,,,,SHINee
721,Sarang is the second member of Candy Shop to be introduced by Brave Entertainment,News,Sophie-Ha,02/14/2024,26,"6,948",Sara,,"Candy Shop, Brave Entertainment",,,Candy Shop,,,Candy Shop
722,NCT WISH rolls out sweet concept photos for their debut single 'WISH',News,Sophie-Ha,02/14/2024,0,"2,000",,,NCT WISH,WISH,,NCT Wish,,NCT,NCT Wish
723,BABYMONSTER face each other in 'Stuck in the Middle' live stage video,Music Video,Germaine-Jay,02/14/2024,59,"5,274",,,,Stuck in the Middle,,,,BABYMONSTER,BABYMONSTER
724,BTOB's Hyunsik survives solo in 'La Mar' MV teaser,Teaser,Germaine-Jay,02/14/2024,0,"1,294",Hyunsik,,BTOB,La Mar,,BTOB,,BTOB,BTOB
725,NCT's Taeyong looks for himself in 'Searching for TY' teaser video,Teaser,Germaine-Jay,02/14/2024,2,"1,359",Taeyong,,NCT,Searching for TY,,NCT,,NCT,NCT
726,TWS take home 1st music show trophy with debut song 'plot twist' on 'Show Champion',News,Sofia-Sayson,02/14/2024,14,"3,112",,,T,Show Champion,,,,TWS,TWS
727,NCT's TEN reveals story behind 'TEN' solo debut mini album,Misc,Germaine-Jay,02/14/2024,0,"1,880",,,"NCT, TEN, TEN",,,NCT,,NCT,NCT
728,Former Rainbow's Hyunyoung denies allegations she's involved in cryptocurrency scam,News,Germaine-Jay,02/14/2024,4,"2,903",Hyunyoung,,Rainbow,,,Rainbow,,,Rainbow
729,The Wind say beam me up in 'H! TEEN' MV,Music Video,Germaine-Jay,02/14/2024,0,"1,409",Wind,,,"The, ! TEEN",,,THE7,,The Wind
730,VCHA unveils acoustic version of ‘Girls of the Year',Music Video,Alec06,02/14/2024,3,"1,609",,,VCHA,Girls of the Year,,VCHA,,VCHA,VCHA
731,Brave Entertainment unveils Candy Shop's first member Sui with vibrant dance cover video,Misc,EunhaYi,02/14/2024,5,"2,330",Sui,,"Brave Entertainment, Candy Shop",,,Candy Shop,,,Candy Shop
732,BTS V's latest spring-themed pictorial with 'W' Korea unveiled in collaboration with CELINE,News,EunhaYi,02/14/2024,17,"7,303",##S V,Korea,"BT, CEL",,,,,BTS,BTS
733,Stray Kids Confirmed to Grace the Stage at 'Asia Star Entertainer Awards 2024',News,EunhaYi,02/13/2024,3,"4,439",,,Stray Kids,"Grace the Stage, Asia Star Entertainer Awards 2024",,Stray Kids,,,Stray Kids
734,LUN8 makes comeback with second mini album 'BUFF' after 7-month hiatus,News,EunhaYi,02/13/2024,0,"1,785",,,LUN8,BUFF,,LUN8,,LUN8,LUN8
735,K-netizens find RIIZE's mascot dolls hilarious,News,Sophie-Ha,02/13/2024,10,"8,628",,,RIIZE,,,RIIZE,,,RIIZE
736,MAMAMOO's Moon Byul is ready to take over in the concept photos for her 1st full album 'Starlit of Muse',News,Luckymoomoo,02/13/2024,6,"1,928",Moon Byul,,"MA, ##OO",Starlit of Muse,,,,MAMAMOO,MAMAMOO
737,K-netizens congratulate BTS producer PDogg and weathercaster Kim Ga Young on their romantic relationship,News,Sophie-Ha,02/13/2024,5,"5,330","PDogg, Kim Ga Young",,BTS,,,BTS,,,BTS
738,BTS's V (Kim Taehyung) stars in CELINE's massive billboard ad campaign in major cities in China,News,YeontanNews,02/13/2024,70,"11,534",Kim Taehyung,China,"BT, CELINE",,,,,BTS,BTS
739,BTOB's Hyunsik rolls out more underwater concept photos for his 2nd mini-album 'The Young Man and The Deep Sea',News,Sophie-Ha,02/13/2024,0,"1,812",Hyunsik,,"BT, ##B",The Young Man and The Deep Sea,,,,BTOB,BTOB
740,"LUN8 confirm first comeback with ""BUFF""",News,A-Zeddeler,02/13/2024,0,"1,583",,,LUN8,BUFF,,LUN8,,LUN8,LUN8
741,LE SSERAFIM fans are angry after discovering goods that only a Source Music staff member would have access to being sold online,News,Sophie-Ha,02/13/2024,3,"8,487",,,Source Music,,,,,LE SSERAFIM,LE SSERAFIM
742,NCT WISH releases cute teaser image for their debut,News,Sophie-Ha,02/13/2024,3,"2,553",,,NCT WISH,,,NCT Wish,,NCT,NCT Wish
743,BLACKPINK becomes the First K-Pop Female Artist to have two Silver-Certified Albums in the UK,News,MomoDancer,02/13/2024,12,"4,250",,UK,,K - Pop Female Artist,,,,BLACKPINK,BLACKPINK
744,Brave Entertainment introduces the first member of Candy Shop,News,Sophie-Ha,02/13/2024,9,"9,543",,,"Brave Entertainment, Candy Shop",,,Candy Shop,,,Candy Shop
745,NCT's Taeyong begins gearing up for his comeback with new teaser schedule for 2nd mini-album 'TAP',News,Sophie-Ha,02/13/2024,7,"2,166",Taeyong,,NCT,TAP,,NCT,,NCT,NCT
746,TWICE members look angelic in white in the new concept photos for 'With YOU-th',News,Sophie-Ha,02/13/2024,9,"4,189",,,TWICE,,,TWICE,,TWICE,TWICE
747,BOYNEXTDOOR confirm comeback plans for April,News,Germaine-Jay,02/13/2024,7,"2,033",,,BOYNEXTDOOR,,,BOYNEXTDOOR,,BOYNEXTDOOR,BOYNEXTDOOR
748,TRI.BE releases visual video for their 4th single 'Diamond',Teaser,Alec06,02/13/2024,2,"1,405",,,TRI. BE,Diamond,,TRI.BE,,,TRI.BE
749,Peek-A-Boo' becomes Red Velvet's 3rd song to surpass 200 million streams on Spotify,News,Sofia-Sayson,02/13/2024,6,"1,784",,,Red Velvet,"Peek - A - Boo, Spotify",,Red Velvet,,,Red Velvet
750,EXO's Chen sings 'The Way to Love Me' for 'Doctor Slump' OST,Music Video,Germaine-Jay,02/13/2024,4,"2,344",Chen,,,"The Way to Love Me, Doctor Slump",,,,EXO,EXO
751,Girls' Generation's YoonA to hold solo 'Yoonite' fan meeting in Manila next month,News,Sofia-Sayson,02/13/2024,3,"5,022",YoonA,Manila,Girls ' Generation,,,Girls' Generation,,,Girls' Generation
752,Teen Top's Niel reveals he's a lifelong single,News,Alec06,02/13/2024,2,"8,339",Niel,,Teen Top,,,TEEN TOP,,,TEEN TOP
753,ALL(H)OURS drop intense 'WAO WAO' performance MV,Music Video,Germaine-Jay,02/13/2024,1,"1,345",,,,,,,,AL,ALL(H)OURS
754,BTS's producer Pdogg and weathercaster Kim Gayoung confirm their blossoming romance,News,Alec06,02/13/2024,13,"12,364","Pdogg, Kim Gayoung",,BTS,,,BTS,,BTS,BTS
755,Super Junior's Siwon denies involvement in cryptocurrency scam,News,Germaine-Jay,02/13/2024,9,"6,987",Siwon,,Super Junior,,,SUPER JUNIOR,,,SUPER JUNIOR
756,"J.Y. Park, Stray Kids, ITZY & NMIXX drop 'Like Magic' MV teaser",Teaser,Germaine-Jay,02/13/2024,18,"12,223",J. Y. Park,,"Stray Kids, ITZY, NMIXX",Like Magic,,Stray Kids,,,
757,NCT's TEN gets wrapped up in mystery in 'Nightwalker' MV,Music Video,Germaine-Jay,02/13/2024,2,"3,297",,,"NCT, T",Nightwalker,,NCT,,NCT,NCT
758,NiziU's mako and Rio unveil captivating choreography in latest video,Misc,Alec06,02/13/2024,1,"1,763","NiziU, Rio",,,,NiziU,,,,NiziU
759,RIIZE's hit track 'Love 119' maintains strong position on music charts,News,EunhaYi,02/13/2024,2,"3,194",,,RIIZE,Love 119,,RIIZE,,RIIZE,RIIZE
760,"ATEEZ's 'Crazy Form' MV surpasses 100 million views, setting new record for the group",News,EunhaYi,02/13/2024,3,"3,074",,,ATEEZ,Crazy Form,,ATEEZ,,ATEEZ,ATEEZ
761,BLACKPINK's Lisa to make Hollywood debut in 'The White Lotus' season 3,News,EunhaYi,02/12/2024,119,"22,898",Lisa,Hollywood,,The White Lotus,,,,BLACKPINK,BLACKPINK
762,BOYNEXTDOOR reportedly making a comeback in April with highly anticipated new album,News,EunhaYi,02/12/2024,5,"3,102",,,BOYNEXTDOOR,,,BOYNEXTDOOR,,BOYNEXTDOOR,BOYNEXTDOOR
763,JYP Entertainment's BOY STORY embarks on exciting first half of 2024 with new album and tour,News,EunhaYi,02/12/2024,2,"2,924",,,"JYP Entertainment, BOY STORY",,,BOY STORY,,,BOY STORY
764,TXT's Taehyun makes generous contribution to celebrate his birthday,News,EunhaYi,02/12/2024,12,"2,761",Taehyun,,TXT,,,TXT,,TXT,TXT
765,Former AOA member Yuna shares wedding pictorial with composer fiancé Kang Jeong Hoon,News,EunhaYi,02/12/2024,9,"13,842","Yuna, Kang Jeong Hoon",,AOA,,,AOA,,,AOA
766,"K-netizens wonder how rookie boy group TWS beat IU's ""Love Wins All"" and broke her PAK streak",News,Sophie-Ha,02/12/2024,27,"16,942",,,"TWS, IU",Love Wins All,,TWS,,,TWS
767,BTOB's Hyunsik exudes tranquil aura in the first concept photos for his 2nd mini-album 'The Young Man and The Deep Sea',News,Sophie-Ha,02/12/2024,0,"1,967",Hyunsik,,"BT, ##B",The Young Man and The Deep Sea,,,,BTOB,BTOB
768,"CHUU invites fans on a new sweet adventure with a teaser for her digital single ""Chocolate""",Teaser,Sophie-Ha,02/12/2024,3,"1,537",CHUU,,,Chocolate,,,ChoColat,,
769,"ITZY celebrates their 5th anniversary with a self-made music video ""Sooo LUCKY""",Music Video,anonymous1215151,02/12/2024,5,"2,810",,,ITZY,Sooo LUCKY,,ITZY,,ITZY,ITZY
770,Brave Entertainment finally unveils their upcoming girl group Candy Shop,News,Sophie-Ha,02/12/2024,8,"3,981",,,"Brave Entertainment, Candy Shop",,,Candy Shop,,,Candy Shop
771,LE SSERAFIM teases new music from their mini-album 'EASY' through their latest highlight medley teaser,Teaser,Sophie-Ha,02/12/2024,11,"2,704",,,LE SSERAFIM,EASY,,LE SSERAFIM,,LE SSERAFIM,LE SSERAFIM
772,B1A4 Gongchan shares his struggle with starting travel,News,Alec06,02/12/2024,2,"5,238",B1A4 Gongchan,,,,,,,B1A4,B1A4
773,VANNER unleashes charismatic 'JACKPOT' performance video,Misc,Alec06,02/12/2024,2,"1,385",,,VANNER,,,VANNER,,VANNER,VANNER
774,"Brave Entertainment's new girl group, Candy Shop, has unveiled its four members for the first time",Teaser,Alec06,02/12/2024,11,"6,295",,,"Brave Entertainment, Candy Shop",,,Candy Shop,,,Candy Shop
775,P1Harmony releases dazzling relay dance video for 'Killin' It',Misc,Alec06,02/12/2024,2,"1,442",,,P1Harmony,Killin ' It,,P1Harmony,,,P1Harmony
776,New girl group UNIS attracts attention for their alluring visuals,Photos,A0tonti,02/12/2024,45,"15,040",,,UNIS,,,UNI,,,UNIS
777,"Xikers triumphantly concludes debut European tour, preps for March comeback",News,Alec06,02/12/2024,2,"2,489",,,Xikers,,,xikers,,,xikers
778,LE SSERAFIM captivates global audience with literary-inspired music in upcoming mini-album,News,Alec06,02/12/2024,5,"6,167",,,LE SSERAFIM,,,LE SSERAFIM,,LE SSERAFIM,LE SSERAFIM
779,NCT 127 radiates unstoppable charm behind masks at Incheon airport arrival,News,Alec06,02/11/2024,0,"2,712",,Incheon,,,,,,NCT,NCT
780,BLACKPINK embarks on full-fledged solo activities... 'Separately yet together',News,Alec06,02/11/2024,41,"16,504",,,BLACKPINK,,,BLACKPINK,,BLACKPINK,BLACKPINK
781,"BLACKPINK JENNIE's “One Of The Girls"" becomes the Most Streamed OST by a K-pop Act on Spotify",News,Real-Kpop-News,02/11/2024,78,"8,125",,,,"“ One Of The Girls, Spotify",,,,BLACKPINK,BLACKPINK
782,BOYNEXTDOOR's Riwoo sparks intrigue with photos of his family's reportedly lavish home,News,Janie-Reign,02/11/2024,9,"11,231",Riwoo,,,,,,,BOYNEXTDOOR,BOYNEXTDOOR
783,Red Velvet's Joy personally claps back at remarks suggesting she will look prettier by losing weight,News,Janie-Reign,02/11/2024,60,"39,231",Joy,,Red Velvet,,,Red Velvet,,,Red Velvet
784,MAMAMOO's Solar gives more spoilers to fans on her solo 2024 comeback and concert tour dates,News,Luckymoomoo,02/11/2024,10,"4,147",,,MAMAMOO,Solar,,MAMAMOO,,MAMAMOO,MAMAMOO
785,BLACKPINK's Rose searches for new solo fandom name and offers glimpse of self-written song,News,Janie-Reign,02/11/2024,47,"15,151",Rose,,"BL, ##KPINK",,,,,BLACKPINK,BLACKPINK
786,NCT's TEN is a fearless 'Nightwalker' in solo comeback MV teaser,Teaser,Janie-Reign,02/11/2024,8,"2,595",Nightwalker,,NC,,,,,NCT,NCT
787,MAMAMOO's Moon Byul shows confidence in chic concept photos for 1st full album 'Starlit of Muse',News,Janie-Reign,02/11/2024,8,"2,433",Moon Byul,,MA,Starlit of Muse,,,,MAMAMOO,MAMAMOO
788,ITZY members all open personal Instagram accounts,News,Janie-Reign,02/11/2024,20,"26,550",,,ITZY,,,ITZY,,ITZY,ITZY
789,TWICE radiate in stunning new concept photos for 'With YOU-th',News,Janie-Reign,02/11/2024,14,"6,925",,,TWICE,,,TWICE,,TWICE,TWICE
790,CRAVITY are all dark in 'Afterglow' version of 'EVERSHINE' concept photos,News,Jia-Lin,02/11/2024,3,"2,486",,,,Afterglow,,,,CRAVITY,CRAVITY
791,AMPERS&ONE cover label senior SF9's 'Good Guy',Misc,Jia-Lin,02/11/2024,0,"1,675",,,"AM, & ONE, SF9",Good Guy,,SF9,,,SF9
792,EVNNE release dance practice video for 'K.O. (Keep On)',Misc,Jia-Lin,02/11/2024,0,"1,361",,,,K. O. ( Keep On ),,,,EVNNE,EVNNE
793,"BTS RM writes sincere letter to fans from the military, wishing them a Happy Lunar New Year",News,Jia-Lin,02/11/2024,9,"12,944",BTS RM,,,Happy Lunar New Year,,,,BTS,BTS
794,NCT's Ten raises solo debut anticipation with a new set of teaser images,News,Dani-Dee,02/11/2024,4,"3,066",,,NCT ',Ten,,,4TEN,NCT,NCT
795,2PM's Changsung to star as handsome cafe owner in his first lead role for a Japanese drama,News,Dani-Dee,02/10/2024,4,"3,777",Changsung,,2:00 PM,Japanese,,2:00 PM,,,2PM
796,TREASURE raise anticipation for Japan comeback with pre-release single 'B.O.M.B (Japanese ver.)',News,Dani-Dee,02/10/2024,7,"3,395",,Japan,,"B. O. M. B, Japanese",,,,TREASURE,TREASURE
